Marca temporal,"Escriba un frase corta con un elogio, máximo 5 palabras.","Escriba un frase corta en forma de pregunta, máximo 5 palabras.","Escriba un frase corta que sea diferente a las categorías anteriores, máximo 5 palabras","Escriba una frase que exprese un sentimiento positivo (algo que diría una persona feliz, alegre, sorprendida, solidaria, etc.)","Escriba una frase que exprese un sentimiento negativo (algo que diría una persona triste, enojada, decepcionada, una crítica negativa, etc.)",Escriba una frase que exprese un sentimiento neutral (ejemplo: el día de hoy a sido normal y no ha pasado nada)
10/06/2018 2:08:23,,,,"Podemos tener una vida plena si somos considerados, cuidamos el planeta y ayudamos a los más necesitados","Los gobiernos no deben malgastar los recursos y ayudar a los pobres, no tiene sentido",Hoy voy a arreglar una computadora que me encargaron desde hace varias semanas
10/06/2018 2:13:36,,,,"Que sorpresa fue volver a verla de nuevo, que sensación tan increíble",Estuvimos sin agua durante varios días. Que días tan terribles y miserables,Se me quedo un bolso en la casa de mi amigo cuando fui a visitarlo
10/06/2018 2:20:14,,,,"Los fuegos artificiales hacen vibrar mi cuerpo, es una sensación única",La sensación de vacío que te da al momento de fallar es una sensación muy desagradable,Los vectores en matemáticas es algo que aún no logro a entender en su totalidad 
10/06/2018 2:21:08,,,,"Cuando leo libros me siento lleno y relajado, es mi manera de sentirme bien conmigo mismo","Cuando llueve, lo que más me molesta es que los carros anden muy rápido y me mojen",Fui al médico de los ojos y me recomendó cambiar mis lentes
10/06/2018 2:22:05,,,,El amor que siento por mi madre es algo que no se puede comparar a nada ,El vacío que me dio al sentir a mi madre partir luego de sus 89 años fue algo devastador,Los perros son animales muy nobles que por lo general son muy apegados a sus dueños
10/06/2018 2:22:28,,,,"Confío en tus capacidades y se que podrás lograr todo lo que te propones, solo confía en ti mismo","No creo que puedas terminar la tarea a tiempo, mejor acepta que ya no tienes tiempo suficiente y vete a dormir",Ayer entregué un reporte de matemáticas a la profesora
10/06/2018 2:23:41,,,,Amor sentir el calor del sol en la mañana cuando el día está frio,"Desgraciadamente, muchas familias sen han separado por temas políticos",Están construyendo un nuevo centro comercial en el centro de la ciudad
10/06/2018 2:23:41,,,,"Mi mascota favorita ""dobby"" siempre fue un gato que me acompañó en buenas y malas épocas",Sinceramente la muerte de mi pez Diego es algo que me tomó por sorpresa y que aún me duele,Los caballos son animales salvajes domesticados al punto de ser animales caseros
10/06/2018 2:24:50,,,,"Cuando me siento a trabajar, me gusta tomarme una rica taza de café","Soy de esas personas que no pueden levantarse temprano, me da mucha pereza",Tengo que terminar de llenar unas cuantas encuestas más
10/06/2018 2:25:13,,,,Por fin luego de tanto trabajar gané el ascenso que tanto espere en la empresa,Hoy nuestros jefes decidieron que la empresa no daba para más y decidieron cerrarla,El día a día en el trabajo es algo que cualquier persona que considere trabajar en esta empresa debe pensar
10/06/2018 2:26:00,,,,"Se que algún día visitaremos la ciudad de nuestros sueños, con mucho esfuerzo y dedicación lo lograremos","Jamás iría a una ciudad tan cochina como Maracaibo, su gente también es horrible",Mi prima vive en una ciudad pequeña del norte donde hay animales de granja
10/06/2018 2:26:48,,,,"Aún recuerdo la primera vez que probé un helado, es algo que nunca olvidaré",La última vez que estuve solo me sentí tan mal que pensé en acabar con mi vida,El helado es un postre frío que contiene grandes beneficios para el ser humano
10/06/2018 2:27:38,,,,"Mi prima se fue del país con muchos sueños en su interior, sabiendo que los alcanzará todos y cada uno de ellos",Mi primo emigró porque sabía que ya no podía sobrevivir en este país que está pasando por una situación parecida a la guerra,Dentro de unos días se celebra el día de todos los santos en aquel país del norte
10/06/2018 2:29:00,,,,Las caricias de mi madre es algo que siempre añoro cuando es invierno,El examen de ayer fue una prueba que no pude pasar por más que lo intentase ,El profesor Garcia es el docente encargado de dar las clases del área de las ciencias
10/06/2018 2:29:47,,,,Un buen cono de helado es todo lo que se necesita después de un día de trabajo,Las drogas se están volviendo un problema muy serio en todo el mundo,En el mundo hay personas de diferentes etnias y culturas
10/06/2018 2:31:08,,,,"Tu eres el amor de mi vida, la persona que pone mi vida en el carril correcto","El choqué en carro de ayer causó 3 muertes y 10 lesionados, yo fui el causante de ese choque ",Los choques en Europa central por alcoholismo son aproximadamente cada 3 meses  
10/06/2018 2:33:30,,,,Cuando salgo a tomar con mis amigos nos divertimos muchos en todos los lugares que visitamos,"Fui al campo y la pasé muy mal, me picaron los mosquitos y me hicieron sentir mal",En el campo que visité hay animales de todo tipo
10/06/2018 2:34:20,,,,A veces canto con tanta fuerza y alegría que mi perro coco aúlla conmigo ,"Suelo extrañar la compañía de mi Diego, él si me entendía, me amaba",¿Por qué a veces la luna se pinta de naranja en el cielo y a veces no?
10/06/2018 2:35:56,,,,"Recuerda que todos tus seres queridos te aman y esperan que tengas éxito en tu vida, si se puede!","Las personas de nuestro país no tienen qué comer, están sufriendo para llevar comida a la mesa de sus familias","Existen libros para niños, para adultos, para jóvenes e incluso para todos"
10/06/2018 2:36:04,,,,Quisiera poder volar muy alto y así poder bajarte una estrella solo para ti,Tengo miedo a que un día al comer muera afixiado por la comida,El porcentaje de perros que le gusta jugar con us frebee es mayor a la que no le gusta
17/06/2018 14:29:26,,,,"Las canciones de antes hablaban de amor, paz, baile y alegría. Pasábamos noches enteras bailando, felices y con ganas de vivir","Hoy en día la música solo tiene temáticas horribles y groseras, por eso las generaciones actuales están llenas de antisociales, adictos y enfermizos ",La música tiene letras y ritmos de todo tipo
21/04/2018 14:18:49,me caes muy bien,cómo vas con la tesis?,tengo mucha hambre,Me siento muy afortunado de tenerte aquí justo a mi lado,Odio a aquellos profesores que creen sabérselas todas y son muy malos dando clases,El día de hoy se puede ir a hacer compras en el supermercado sin hacer mucha cola
21/04/2018 15:21:13,Tú eres excelente,¿Cómo lo haces?,La despertad del sueño ,"Hoy quiero conquistar el mundo, tengo mucha energía y entusiasmo para hacerlo","Ya no vale la pena seguir intentando, puesto que no lo entenderán","Es un día normal, cómo cualquier otro para empezar de nuevo"
21/04/2018 15:22:23,Eres preciosa,¿Qué queres?,Eso me interesa,"La humanidad tiende siempre hacia el progreso, y aunque la mayoría de la gente dude de ello cada día estamos un poco mejor que el anterior.","Argentina lleva 70 años de decadencia, pasamos de ser de las 10 naciones más ricas del mundo a ser un país tercermundista más. ",La formula resolvente es menos b más menos raiz de b al cuadrado menos 4 por a por c todo sobre dos por a.
21/04/2018 15:58:34,tan bello como el sol,tienes hambre ?,unico asi es nuestro amor,No dejare morir el resplandor que brota de mi alma,"Si no estas a mi lado la tristeza llena mi corazon, soltando una extraña risa cuando sola yo estoy","No importa lo bueno o lo malo, si hace frio o calor ... Lo que importa es que aqui estoy"
21/04/2018 17:42:06,Tu ayuda me es útil,¿Ya llegó el agua?,Estuve pensando mucho que responder,"Mejor temprano que tarde, mejor tarde que nunca",Cualquier cosa hecha es inútil comparado al tamaño del universo,El poder se obtiene por la acción no por méritos
21/04/2018 19:57:56,Eres una persona execional ,¿me lo dices a mi?,Que divertido,"Todos tus sueños se volverán realidad, solo ten de en ti mismo",Eres la peor persona que allá conocido jamás en la vida,"Como te vaya me da igual, no me vengas a buscar"
21/04/2018 19:58:22,Eres magia ,Cual es tu comida favorita?,Los amaneceres son lo máximo,Si lo puedes imaginar lo puedes manifestar ,Hay que conformarse con lo que sucede,Todo en la vida tiene un lado bueno y malo 
21/04/2018 20:09:01,Qué lindos ojos tienes. ,¿Qué hiciste hoy? ,Hoy vi una película. ,Qué hermoso día. ,Qué asco de día. ,Todo está normal. 
21/04/2018 20:13:12,Hoy en un lindo día ,¿Estás bien?,Mereces lo que sueñas ,Hoy es un Buen Día para hacer lo que amas ,Me da rabia que las personas juzguen sin bases previas ,Hoy comí pasta que preparó mi mama y mi perro se comió una parte 
21/04/2018 20:14:45,la ULA es lo maximo ,algun dia nos graduaremos?,me gusta mi carrera!!,la chica que me gusta es de la facultad de ciencias,que fastidio todo lo que pasa en el pais ,no se como sentirme con las elecciones venideras 
21/04/2018 20:16:11,Eres inteligente,Te pasa algo,La cocina está limpia,Todo saldrá bien,Todo saldrá mal,No existen los sentimientos neutrales
21/04/2018 20:19:46,Que música te guata? ,Como se llama tu amigo? ,Tienes auto? ,"Hola,  que tengas un muy lindo día en tu trabajo ",Nadie te pidió que hablaras ,Que opinas sobre el conflicto en siria? 
21/04/2018 20:33:57,Eres muy especial ,Como estas hoy?,Es bueno hacer ejercicio,"Siempre puedes lograr tus metas si empleas el tiempo y esfuerzo  necesario para alcanzarlas, y piensas de manera positiva...","La tristeza es un sentimiento humano, a veces es difícil de superar, a  pesar de intentarlo.","A veces las cosas pasan porque simplemente así es la vida, no es bueno  ni malo, solo es algo que ocurre ."
21/04/2018 20:41:13,"la curva más hermosa, tu sonrisa",y si te quedas por siempre?,mi felicidad esta en un helado,mañana será mucho mejor si todos nos llenamos de esperanza,"si nuestro esfuerzo es en vano, de nada valió la pena luchar",vamos a recorrer la carretera viendo las nubes moverse a nuestro lado.
21/04/2018 20:43:50,Eres una persona muy pura,Te gusta la comida?,Me gustaria conocer el mundo,Me siento muy bien cuando conozco personas nuevas y divertidas ,No me gusta el chocolate ni ningún tipo de comida dulce ,Me siento satisfecho cuando realizo por completo mis actividades y deberes
21/04/2018 20:45:41,Me gusta tu andar despacio,como te has sentido después del medicamento?,He estado bastante nostalgica estos ultimos días,"cada vez que te sientas desolado, toma un respiro , reemplantea sobre lo que se trata la vida, y sigue!",ultimanente has estado demasiado enfadado si sigues así la ira te dominara,"has tenido muchos logros esta semana, no te desalientes pero tampoco te confies"
21/04/2018 20:49:33,Eres una persona muy pura ,¿Te gusta mucho la musica?,No me gusta bailar salsa,Me siento muy bien cuando conozco gente nueva y divertida ,No me cae bien la gente que no le gusta el chocolate ,Me siento satisfecha cuando realizo completamente todas mis actividades y deberes 
21/04/2018 20:56:34,estas muy bella ,estas bien?,no estoy,soy feliz comigo mismo ,no sali bien en mi examen ,"esta bien, no hay problema"
21/04/2018 20:57:14,Eres muy organizado,Donde iras esta noche,me encanta el helado,la solidaridad consiste en el apoyo y la aceptación de quienes queremos ,"La envidia es el sentimiento mas oscuro del ser humano, pues lo guarda con recelo",El respeto envuelve la prudencia en el actuar y el hablar 
21/04/2018 20:58:14,Dios nos ama a todos,te amas a ti mismo?,ama cada dia es una oportunidad,Debemos ayudarnos unos a los otros sin esperar nada a cambio,No permitas que una persona tóxica influya en ti.,La felicidad depende de tu actitud. Eso depende de ti
21/04/2018 21:24:40,Te felicito por tu conocimiento,Que es el verdadero amor,En su presencia hay plenitud ,Dios tiene el control de todo y tiene un plan perfecto en el cual Venezuela vera su gloria ,No pueden avanzar por que sus mentes estan contaminadas y llenas de maldad,Si todo te da igual estas haciendo las cuentas mal 
21/04/2018 21:49:47,Esa ropa te queda perfecto,¿Te sientes bien?,La películo duró dos horas,Me pongo alegre cuando bailo,Me enfado cuando alguien golpea a otra persona,No pasa nada cuando alguien no te habla
21/04/2018 21:52:27,Eres muy inteligente,¿Cómo te llamas?,Estaba de camino a casa,Caminado por la calle me alegré mucho al verte hoy,Como odio ver la destrucción que ha causado el gobierno en este país,Camino a casa me tropece con un arbor muy grande
21/04/2018 22:05:08,Que hermosura,Que haces ?,La locura,La vida hay que vivirla y no dejarla pasar,Eres lo peor que le ha pasado a mi vida,Parece que eso sera lo que va pasar
21/04/2018 22:30:02,¡Eres fantástica!,¿Estás preparado?,Siempre amanece,"Eventualmente todo en la vida tiene sentido, todo se conecta, y en ese momento entiendes el por qué de todo. ",Hay días en los que no siento la esperanza de siempre con respecto a nuestro país,"El calentamiento global amenaza nuestras ciudades y poblaciones rurales, y aún muchos gobiernos y ciudadanos niegan su existencia."
21/04/2018 22:42:33,eres grande ,de donde eres ,el juego de beisbol,La amor es la clave del éxito,No me gusta el odio ,Establecer relaciones con mi amigo
21/04/2018 23:13:08,Cocinas muy rico,Que vamos a comer? ,Me gustan los dulces,Acabo de comer torta de chocolate y me siento muy feliz ,No he comido en todo el día y eso me hace sentir molesta ,"No se que comeré mañana,  pero espero comer dulces "
21/04/2018 23:15:57,Eres una persona fantástica,Cómo te sientes está mañana?,Deberías leer más sobre ese tema.cuabdo actuamos,"Cuando actuamos en congruencia con nuestros sentimientos y pensamientos, la satisfacción hacia nosotras mismas se convierte en una caricia a la autoestima.","Vivir a diario frustración y desamparo social genera, poco a poco, que la desesperanza se convierta en un sentimiento natural y caemos en apatía social y política.","La sociedad es el lugar de nuestra realización como seres capaces de ejercer la ciudadanía, de allí que es necesario vque la escuela nos prepare para ese ejercicio. "
21/04/2018 23:25:22,Bonita,Cuando es tu grado?,Vida,Optimista ,Pesimistas,Efímero
21/04/2018 23:27:25,Tu ternura alegra mi existir,Que pasó en tu vida.?,Un amanecer tranquilo ,Con los amigos la vida es hermosa y hay que disfrutarla siempre,El dolor y el desengaño acaban con los buenos sentimientos amorosos,Las avenidas de esta ciudad son angostas obscuras y muy largas 
22/04/2018 0:23:42,Me encanta tu personalidad divertida.,¿Estás en busca de la felicidad?,Todo está en tu mente.,"Cerrar ciclos, soltar o dejar ir para liberarte y volver a vivir. Para viajar liviano y sin tanto peso en el corazón. Cierra tus ojos, respira profundo y deja que la vida fluya; descubre que con el paso del tiempo todo pasa. No todo saldrá bien, pero como siempre... Tu sobrevivirás a todo.","Algún día vas a conocer a alguien que conozca como masticas, como bebes a sorbos, como bailas cuando nadie te ve, como te ves sin peinar, como te emocionan las pequeñas cosas y todas tus manías. ¿Y sabes qué? Te va a dejar.",Nada se va hasta que nos haya enseñado lo que necesitamos saber.
22/04/2018 0:27:08,Buen trabajo,Como va eso,La vaca mariposa tuvo internet,Hoy soy mejor que ayer,No podre hacerlo,Me da igual si vienes
22/04/2018 1:08:48,Tu eres marico,¿Tu eres marico?,You are marico,"Yes, you are very marico",Se nota lo marico que eres,Marico
22/04/2018 3:30:16,"hola, que guapo estas hoy", ¿será qué llueve hoy?,el gato tiene hambre,Cree en ti y todo lo podrás conseguir.,La avaricia y el egoísmo son perjudiciales,Ni blanco ni negro todo es gris
22/04/2018 6:39:44,Eres un Ángel,Cómo estás?,La vida es placentera,Entre las grandes y maravillosas cosas de la vida estás tú,Es imposible establecer una comunicación asertiva con personas personas tan negativas como tú,"Las bases que fortalecen la vida es la paz, el amor y la unión."
22/04/2018 7:23:38,La película es buenísima.,¿Acaso tienes hambre?.,¡Levántate y aplaude! Los artistas se lo merecen.,"¡Estoy en mi mejor momento, he alcanzado todo lo que había soñado! Tengo mi casa ideal, un esposo espectacular, dos hermosos hijos y mi trabajo es sensacional, no parece que estuviera trabajando sino disfrutando.","Mi perrita ayer se perdió y pase todo el día buscándola, nada que aparece. Por favor ayúdame a encontrarla que estoy muy preocupada por ella. ","Ciertos expertos recomiendan el ejercicio para estar saludables y mantenerse en forma, yo recomiendo escuchar el cuerpo y hacer lo que el pida y necesite, puede ser ejercicio o simplemente puede ser acostarse a contemplar las estrellas. Complaces tu ser y estas saludable. "
22/04/2018 15:55:40,eres muy apuesto,recuerdas cuando nos conocimos,me gusta mucho el chocolate,no hay día tan malo que un buen chocolate caliente y un abrazo no puedan arreglar,"no hay agua, no hay luz, no tenemos gas, el salario no alcanza","al salir pasare por la calle dos, cruzando con la av bolivar, antes de cantv"
22/04/2018 16:49:41,eres muy interesante,Donde vives tu,Hoy es un dia lluvioso,Hoy aprobe todos mis examenes con buena calificaciones,No me gusta este día,Estoy indeciso si ir a la biblioteca o estudiar con mi amiga
22/04/2018 16:56:16,Que hermoso esta tu cabello,Que edad tiene tu madre,El almuerzo está listo,Me gusta cuando voy de compras,Odio levantarme temprano para asistir a clases,Este día en particular ha sido el más frió de todos
22/04/2018 17:10:38,Te ves muy guapo,¿Como estas hoy?,¡Que sopa tan rica!,Disfruta cada día al máximo,Tu no puedes hacerlo,"Hoy quisiera salir,  pero esta lloviendo "
22/04/2018 17:27:09,Que linda estas hoy,Que vas a hacer hoy? ,Vamos de paseo,"Que grandioso es estar vivo,  gracias señor por darnos la oportunidad de un nuevo día. ",Me molesta mucho que las personas se sientan con derecho a opinar sobre mi vida,"Por más que intento acostumbrarme a lo metidas que pueden ser las personas,  no lo logro"
22/04/2018 17:47:21,Que intelintegente eres hijo mio,Hola como estas este dia? ,Eres mi orgullo te amo ,En este bello dia te deseo exitos y mycha prosperidad,Hoy te digo que no sirves para nada no vengas,Hoy estamos aqui mañana no sabemos que va a pasar 
22/04/2018 18:01:02,Tu eres una persona espectacularCuá,Cuál es tu nombre?,Me gustan los días lluviosos,"Dios es amor, nos cuida a pesar de las adversidades",Nuestra Venezuela está pasando por muchos problemas en su economía,Yo amo a mis dos hijos por igual con todo el corazón
22/04/2018 18:12:04,Te quiero a mi lado ,En que pais vives,Estoy feliz por mi cumpleaños,"Mi dios GRACIAS por la vida,salud y alimentos",Ya no quiero estar a tu lado,Salimos a comer torta
22/04/2018 18:16:22,Que creativo eres ,quien eres,Dios es amor,Todo lo puedo en Cristo que me fortalece,Soy malo para las matematicas,hoy es el día de la tierra
22/04/2018 18:18:46,Eres muy inteligente ,¿Eres muy grande?,Se siempre el mejor,Supérate a diario,Eres el peor si no te esfuerzas,Eres una persona común y corriente 
22/04/2018 18:22:31,Te estas portando muy bien,¿Que día es tu cumpleaños?,Estoy en la casa trabajando,"Que felicidad este año viajo a Europa, África y América",Que situación tan difícil esta pasando Fabricio y la mamá,"Mañana voy al cine con María, José, Pedro y Karina"
22/04/2018 18:35:09,Bien hecho campeón,Cómo podría mejorar en programación,Tengo bastante hambre hoy,Me siento feliz de haber sacado buenas notas este semestre,Porque no puedo entender nada de lo que me pasa a diario,No tengo forma de predecir muchas cosas que pasan a mi alrededor pero no me preocupa tanto
22/04/2018 18:42:42,Siempre me gusta ver viedos en la Pc,¿te gusta jugar en el Xbox?,genial es hacer vídeos para Youtube ,Siempre estoy Feliz cuando viajo a ver a mi toda mi familia ,No me gusta estar en merida por el motivo que me siento solo casi siempre y no me siento agusto,estudiar para los exámenes es algo que siempre me toca hacer los fines de semana
22/04/2018 18:47:43,linda,quiere,siempre,Salír de maduro,No salir de maduro,Salir a trabajar 
22/04/2018 19:03:34,Es un honor haber venido,¿Estas dispuesto a hacerlo?, ¡Vaya que ha pasado tiempo!,"Nuestra  vida no esta escrita, somos nuestros propios guionistas","Lineas perpendiculares se tocan en un punto, alejadas al infinito ","No olvides quien eres, el mundo no lo hará."
22/04/2018 21:01:13,Te ves bien,Qué fecha es hoy?,hoy es domingo,Eso es bueno,es terrible,entendido
22/04/2018 21:02:03,¡Felicitaciones lo están haciendo bien!,¿Podría participar en su proyecto?,La política del fracaso fracaso,¡Logre subir en un bus sentado a la facultad y llegue a tiempo!,Voces en mi cabeza me dicen que voy a terminar muerto,A veces escucho las noticias en la radio por la mañana 
22/04/2018 23:50:41,te ves lindo,que dia es hoy,mañana tengo mucho que hacer,Todo lo hace Dios confía en el,La semana pasada fue estresante,Hoy viaje con mis padres
23/04/2018 4:47:57,Ella es extraordinaria,¿Te encuentres bien?,La felicidad es el camino,"El dolor es temporal. Rendirte es para siempre.

",Que pedazez ver esa materia con aquel profesor malo,Al menos terminamos a tiempo dicha asignación
23/04/2018 8:28:38,me caes muy bien,cómo vas con la tesis?,tengo mucha hambre,Me siento muy afortunado de tenerte aquí justo a mi lado,Odio a aquellos profesores que creen sabérselas todas y son muy malos dando clases,El día de hoy se puede ir a hacer compras en el supermercado sin hacer mucha cola
23/04/2018 16:08:46,Que buen trabajo hizo. ,Eso debería ser así?,Esto esta mal hecho.,"Todo esto cambiara muy pronto, para bien. ",De seguro les fue mal a todos. ,Ayer me he comprado una empanada. 
23/04/2018 20:38:49,Excelente trabajo de hoy.,¿Hice bien el programa?,Estuvieron bien los ejercicios.,Recuerda dar el máximo cada día de tu vida.,"Quizás no fue lo mejor, pero gracias por tanto.",Concéntrate y haz lo mejor que puedas.
23/04/2018 22:21:22,Que hermosa estás hoy,Qué hora es,Las paredes son blancas,Mi profesora es genial y es una excelente educadora ,"No puedo hacerlo, no confío en mi mismo",Las clases de piano comienza el lunes a las diez de la mañana
23/04/2018 22:25:32,Tu ensalada está buena,Por qué maduro sigue siendo presidente,Tengo dos gatos ,El autobús vendrá pronto y podremos irnos,Es culpa mía que no haya pasado el examen. Todo por no escuchar,El televisor está haciendo  un sonido extraño desde medio día.
24/04/2018 0:00:39,Eres demasiado listo e inteligente,Que fecha es hoy?,El día de hoy es caluroso,"La película estuvo increíble, fue emocionante verla en el cine",El día es muy corto y no me alcanza para hacer todos mis deberes ,La luna particularmente hoy luce más blanca
24/04/2018 0:03:38,"Tu casa es inmensa, me encanta",Cuánto pesas tu? ,El autobús aún no ha llegado,Me encantó el regalo que me obsequiaste para mi cumpleaños,Odio cuando la gente me hace esperar,La materia no se crea ni se destruyen solo se transforma
24/04/2018 20:12:08,Tu eres mi VIDA,Hiciste la tarea?,la noche sigue al día,nos recompensan por tener la respuesta,"somo nuestros actos, somos nuestras consecuencias","Nada es Verdad, todo esta permitido"
25/04/2018 12:50:31,que bonita forma de pensar,a que te refieres?,que tengas lindo dia,"Cada día esta lleno de nuevas oportunidades, así que aprovechalas",Me molesta la forma en como tu respondes mis preguntas ,La montaña es de color verde claro como mis ojos
26/04/2018 16:02:28,eres alguien bastante alegre ,como sabes lo que necesitamos,El amor es la amistad en llamas,"Si está en tu mente, puedes convertirlo en real"," El que teme sufrir, sufre de temor",hay momentos en que puedo ver caer a la lluvia
29/04/2018 10:36:47,Eres muy inteligente,¿Te esfuerzas lo suficiente?,El cielo está despejado,"Cada día que pasa estoy más cerca de cumplir mis metas, de cumplir mis sueños",Ya no soporto tener que escuchar todos tus insultos y humillaciones que me haces cada vez que te veo,Un pajarito un día volaba en cielo azul buscando comida 
29/04/2018 22:27:48,Que bien te ves!!,Cómo estuvo tu día?,Lo mejor esta por llegar.,Nunca es demasiado tarde para hacer lo que ames.,Nunca pensé que en la felicidad hubiera tanta tristeza.,Sigue tus sueños ellos saben el camino.
6/05/2018 22:14:18,upa que bella,Que le pasa mire que lo he visto,venga que quiero compartir con usted,Sigamos dando lo mejor cada dia y que nada nos detenga,que mierda no sirves pero ni para recojer la escoria,que bien me alegro por todos espero que sea asi de igual siempre
17/05/2018 10:02:42,Súmamente brillante,que haces?,Oportunidad de desarrollo,"La intención no es ser feliz, es sentirse afortunado con lo que la vida te ofrece","La mentira no sólo ofende al que la escucha, sino también al que la genera","En el futuro, muchas de las cosas que hoy sólo se imaginan podrán hacerse realidad"
17/05/2018 13:42:35,Me pareces bello,¿Te gusta el café?,De aquí no me voy,Tu eres lo más grande y extraño que me ha sucedido,Alguien puede explicar por qué existe tanta decidía en este país ,Solo de ti depende el camino que tomes A lo largo de tu vida
17/05/2018 13:43:41,Eres una persona agradable,¿Qué quieres hacer hoy?,Me gusta la música ,El amor todo lo puede ,Me molestó con facilidad ,Hoy quiero hacer algo nuevo para mi vida 
17/05/2018 13:56:49,Que gran logro,¿Donde vives?,Que bonita sonrisa,Que feliz me siento por verte cumplir tus metas ,Siento que no lo puedo lograr,La situación en mi pais es controversial 
17/05/2018 14:07:10,Eres la niña mas inteligente,Hola como estás hoy?,Estoy feliz de tenerte cerca,"Tu grandeza e inteligencia te harán llegar muy lejos amor
",Te odio y te desprecio y te pido no vuelvas,No soy quien para criticarte en lo que tu haces
17/05/2018 17:14:34,Mérida ciudad hermosa de Venezuela,¿Cuándo termina el semestre de Ingeniería?,Las calles están muy sucias,Yo amo profundamente a mis hijos porque son lo más maravilloso del mundo,"Los hospitales de Venezuela están caóticos, no tienen insumos para curar los enfermos","El auto que quiero es muy bueno, pero a mi no me gusta la trompa."